id,scheme_name,scheme_type,state,department,description,eligibility,documents_required,official_website
1,PM Kisan Samman Nidhi,Central,India,Agriculture,Direct income support to farmer families with regular transfer of financial benefit at three-monthly intervals,All farmer families irrespective of landholding size. Scheduled Castes and Scheduled Tribes also eligible,Aadhaar card; Land records; Bank account details,https://pmkisan.gov.in
2,PM Fasal Bima Yojana,Central,India,Agriculture,Comprehensive risk coverage against crop failure due to natural calamities; pests; and diseases,All farmers including share croppers and tenant farmers,Aadhaar; Land possession certificate; Bank account; Crop insurance form,https://pmfby.gov.in
3,Soil Health Card Scheme,Central,India,Agriculture,Provides farmers with soil health information to help make informed decisions for improving soil fertility,All farmers owning agricultural land,Land records; Soil samples; Identification proof,https://soilhealth.dac.gov.in
4,Kisan Credit Card,Central,India,Banking,Flexible credit facility for farmers to meet agricultural and allied needs,Farmers with valid land records and good credit history,Land records; Photo ID; Address proof; Bank account details,https://www.nabard.org
5,PM Krishi Sinchai Yojana,Central,India,Irrigation,Assured irrigation facility to increase water availability for agriculture,Farmers in water-stressed areas with cultivable land,Land ownership documents; State government approval; Project proposal,https://pmksy.gov.in
6,National Food Security Mission,Central,India,Agriculture,Focused supply and distribution of subsidized food grains to ensure food security,Below Poverty Line families; Scheduled Castes and Tribes,Ration card; BPL certificate; Aadhar card,https://nfsm.gov.in
7,Rashtriya Krishi Vikas Yojana,Central,India,Agriculture,State-specific strategies to boost agricultural growth through farming innovation and technology,Registered farmers; Agricultural cooperatives; Self Help Groups,Organization registration; Land records; Project proposal; Bank account,https://www.rkvy.nic.in
8,Paramparagat Krishi Vikas Yojana,Central,India,Organic,Promote organic farming through cluster-based approaches for sustainable agriculture,Interested farmers willing to adopt organic farming; minimum group size of 50 farmers,Farmer ID; Land records; Training certificates; Bank account,https://pkvy.nic.in
9,National Mission on Sustainable Agriculture,Central,India,Agriculture,Support sustainable agricultural practices; water conservation; and soil health improvement,Farmers practicing sustainable methods; resource-poor farmers; Marginal farmers,Farm records; Crop history; Sustainability certificate; Bank details,https://nmsa.dac.gov.in
10,Sub Mission on Agricultural Mechanisation,Central,India,Agriculture,Provides subsidized agricultural machinery and equipment to farmers for modernization,Small and marginal farmers; Farmers with inadequate access to mechanization,Aadhaar; Land records; Bank account; Machinery quotation,https://www.smam.gov.in
11,National Horticulture Mission,Central,India,Horticulture,Promotes sustainable horticulture through technology upgradation and value chain development,Farmers engaged in horticulture; Horticulture organizations; SHGs,Land documents; Horticulture plan; Bank account; Training certificates,https://www.nhm.gov.in
12,e-NAM National Agriculture Market,Central,India,Agriculture,Online platform for agricultural commodity trading to ensure fair prices and reduce intermediaries,Registered farmers; Agricultural producers; Traders,Aadhaar; Bank account; Agricultural produce certificate; Trading license,https://enam.gov.in
13,PM Matsya Sampada Yojana,Central,India,Fisheries,Comprehensive scheme for fisheries development with focus on modernization and export promotion,Fishing communities; Fish farmers; Fishery entrepreneurs,Aadhaar; Caste certificate; Community certificate; Bank account; Fishing license,https://pmmsy.dac.gov.in
14,Blue Revolution,Central,India,Fisheries,Promotes integrated fish farming and aquaculture for livelihood and food security,Farmers willing to adopt fish farming; Landholding farmers; Entrepreneurs,Land records; Water source proof; Bank account; Training completion certificate,https://fisheries.gov.in
15,Dairy Entrepreneurship Development Scheme,Central,India,Dairy,Supports setting up dairy units through capital subsidy and technical guidance,Dairy farmers; Entrepreneurs with basic knowledge of dairy management,Bank account; Land/building documents; Training certificate; Identification proof,https://www.nddb.org
16,National Livestock Mission,Central,India,Animal Husbandry,Promotes sustainable livestock farming for income generation and nutritional security,Livestock farmers; Landless laborers; Women farmers; Rural youth,Aadhaar; Bank account; Experience certificate; Land records or lease deed,https://www.dahd.gov.in
17,Interest Subvention Scheme,Central,India,Banking,Provides interest subvention on agricultural loans to reduce farmers' debt burden,Farmers availing agricultural loans; Cooperative societies; SHGs,Loan documents; Bank statements; Land records; Aadhaar; Income proof,https://www.nabard.org/interest-subvention
18,PM Kisan Maandhan Yojana,Central,India,Agriculture,Provides minimum monthly pension of ₹3000 to farmers above 60 years of age,Agricultural landholding farmers aged 18-40; Small and marginal farmers,Aadhaar; Land records; Age proof; Bank account; Enrollment form,https://pmkmy.gov.in
19,Mission Organic Value Chain Development,Central,India,Organic,Promotes organic farming and develops value chains for organic products,Farmers in organic cultivation; Producer organizations; SHGs; Organic certification body,Aadhaar; Land records; Organic certification; Bank account; Farm documents,https://muvcdnhb.gov.in
20,Agriculture Infrastructure Fund,Central,India,Agriculture,Provides credit and funding for agricultural infrastructure development including storage facilities and market infrastructure,Farmers; Agricultural entrepreneurs; Partnerships with state governments,Project proposal; Bank account; Land records; NABARD approval; Business plan,https://agricultureinfrafinance.dac.gov.in
21,YSR Rythu Bharosa,State,Andhra Pradesh,Agriculture,Direct cash assistance to farmers for agricultural inputs and land preparation,All farmer families in Andhra Pradesh,Aadhaar; Land records; UC certificate; Bank account,https://www.apagrisnet.gov.in
22,YSR Crop Insurance Scheme,State,Andhra Pradesh,Agriculture,Comprehensive crop insurance with premium subsidy by state government,All farmers in Andhra Pradesh; Loanee and non-loanee farmers,Aadhaar; Land records; Bank account; Enrollment form,https://www.apagrisnet.gov.in
23,YSR Zero Interest Crop Loan,State,Andhra Pradesh,Agriculture,Interest-free crop loans for farmers to support cultivation,Small and marginal farmers; SC/ST farmers,Bank account; Land records; Aadhaar; Income proof,https://www.apagrisnet.gov.in
24,Jagananna Bhoomi Rakshana Scheme,State,Andhra Pradesh,Land,Land protection scheme with financial assistance for land improvement,Landholding farmers; Small farmers,Land records; Aadhaar; Proof of ownership; Photo ID,https://www.apagrisnet.gov.in
25,AP Farm Mechanisation Scheme,State,Andhra Pradesh,Agriculture,Subsidized farm machinery and equipment for agricultural modernization,Farmers with minimum landholding; Women farmers; SHGs,Land records; Aadhaar; Machinery quotation; Bank account,https://www.apagrisnet.gov.in
26,Rythu Bandhu Scheme,State,Telangana,Agriculture,Investment support scheme providing ₹5000-10000 per acre seasonally,All farmer families in Telangana,Aadhaar; Land records; Bank account; Enrollment details,https://www.telanganaagri.gov.in
27,Rythu Bima Scheme,State,Telangana,Agriculture,Crop insurance scheme with premium support for crop protection,All farmers in Telangana,Aadhaar; Land records; Insurance enrollment form; Bank account,https://www.telanganaagri.gov.in
28,Telangana Crop Loan Waiver,State,Telangana,Agriculture,Waiver of agricultural loans for eligible farmers to reduce debt,Small and marginal farmers; Debt-laden farmers,Bank documents; Land records; Aadhaar; Loan proof,https://www.telanganaagri.gov.in
29,Telangana Farm Mechanisation Scheme,State,Telangana,Agriculture,Subsidy on agricultural machines and custom hiring support,Farmers; Custom hiring centers; Women SHGs,Aadhaar; Land records; Machinery quotation; Bank account,https://www.telanganaagri.gov.in
30,Telangana Seed Subsidy Scheme,State,Telangana,Agriculture,Seed supply and subsidy for improved crop varieties,All farmers; Seed producers,Aadhaar; Land records; Agricultural license; Bank account,https://www.telanganaagri.gov.in
31,Krishi Bhagya Scheme,State,Karnataka,Agriculture,Assured irrigation scheme with subsidy on irrigation infrastructure,Farmers in drought-affected areas; Rain-fed farmers,Land records; Water source proof; Bank account; Project proposal,https://www.agrisnet.kar.nic.in
32,Raitha Siri Scheme,State,Karnataka,Agriculture,Direct financial support to farmers for input costs,All farmers in Karnataka,Aadhaar; Land records; UC certificate; Bank account,https://www.agrisnet.kar.nic.in
33,Raitha Vidya Nidhi,State,Karnataka,Education,Educational assistance for children of farmer families,Children of farmers; Need-based recipients,Parent ID; School enrollment certificate; Income proof,https://www.agrisnet.kar.nic.in
34,Karnataka Millet Mission,State,Karnataka,Agriculture,Promotes millets cultivation with subsidy and training,Farmers interested in millet cultivation; SHGs,Aadhaar; Land records; Training certificate; Bank account,https://www.agrisnet.kar.nic.in
35,Karnataka Organic Farming Policy,State,Karnataka,Agriculture,Supports transition to organic farming with certification assistance,Farmers willing to adopt organic practices; Groups of farmers,Land records; Aadhaar; Organic certification; Bank account,https://www.agrisnet.kar.nic.in
36,Baliraja Chetna Scheme,State,Maharashtra,Agriculture,Crop insurance scheme with government premium contribution,All farmers in Maharashtra,Aadhaar; Land records; Insurance enrollment; Bank account,https://www.mahaagri.gov.in
37,Mahatma Jyotiba Phule Shetkari Karj Mukti Yojana,State,Maharashtra,Agriculture,Agricultural loan waiver scheme for farmers,Small and marginal farmers; Debt-ridden farmers,Loan documents; Land records; Aadhaar,https://www.mahaagri.gov.in
38,Magel Tyala Shettale Scheme,State,Maharashtra,Irrigation,Supports water-saving agricultural practices,Farmers in water-scarce regions; Irrigation users,Land records; Aadhaar; Water usage proof; Bank account,https://www.mahaagri.gov.in
39,Chief Minister Solar Pump Scheme,State,Maharashtra,Energy,Solar pump installation with subsidy for groundwater extraction,Farmers; Groups of farmers; Gram Panchayats,Land records; Aadhaar; Solar quotation; Bank account,https://www.mahaagri.gov.in
40,Maharashtra Farm Mechanisation Scheme,State,Maharashtra,Agriculture,Subsidy on farm machinery rental and purchase,All farmers; Custom hiring centers; Women farmers,Aadhaar; Land records; Machinery quotation; Equipment proof,https://www.mahaagri.gov.in
41,Kisan Suryoday Yojana,State,Gujarat,Energy,Solar panel installation subsidy for agricultural use,Farmers; Cooperatives; Rural entrepreneurs,Aadhaar; Land records; Solar installation quotation; Bank account,https://www.esamwad.com
42,Mukhyamantri Bagayat Yojana,State,Gujarat,Horticulture,Horticulture development with crop diversification support,Farmers willing to adopt horticulture; Landholding farmers,Land records; Aadhaar; Horticultural plan; Bank account,https://www.esamwad.com
43,Gujarat Soil Health Card Program,State,Gujarat,Agriculture,Soil testing and health monitoring with nutrient guidance,All farmers; Agricultural organizations,Land records; Soil samples; Aadhaar; Laboratory report,https://www.esamwad.com
44,Gujarat Micro Irrigation Scheme,State,Gujarat,Irrigation,Drip and sprinkler irrigation subsidy for water efficiency,Water-stressed farmers; Horticulture farmers,Land proof; Water source documentation; Bank account; Project plan,https://www.esamwad.com
45,Gujarat Farm Mechanisation Scheme,State,Gujarat,Agriculture,Farming equipment subsidy and custom hire services,Small and marginal farmers; Women farmers; SHGs,Aadhaar; Land records; Equipment quotation; Bank account,https://www.esamwad.com
46,Amma Farm Mechanisation Scheme,State,Tamil Nadu,Agriculture,Agricultural machinery subsidy targeting women farmers,Women farmers; Women SHGs; Female-headed households,Aadhaar; Land records; Gender proof; Bank account; Equipment quotation,https://www.tngovernment.com
47,Uzhavar Sandhai Scheme,State,Tamil Nadu,Agriculture,Farmers market platform for direct crop sales to consumers,Registered farmers; Producer organizations,Aadhaar; Land records; Market registration; Bank account,https://www.tngovernment.com
48,Tamil Nadu Crop Insurance Scheme,State,Tamil Nadu,Agriculture,Comprehensive crop insurance with state subsidy,All crop farmers in Tamil Nadu,Aadhaar; Land records; Insurance enrollment; Bank account,https://www.tngovernment.com
49,CM Solar Pump Scheme TN,State,Tamil Nadu,Energy,Subsidized solar water pumping system installation,Small and marginal farmers; Women farmers,Aadhaar; Land records; Solar installation quotation; Bank account,https://www.tngovernment.com
50,Tamil Nadu Seed Subsidy Scheme,State,Tamil Nadu,Agriculture,Subsidy on certified improved seeds,All farmers; Seed growers; SHGs,Aadhaar; Land records; Seed certificate; Bank account,https://www.tngovernment.com
51,Crop Diversification Programme,State,Punjab,Agriculture,Support for shifting to diversified crops reducing paddy area,Rice belt farmers; Progressive farmers,Land records; Aadhaar; Crop diversification plan; Bank account,https://agriextension.punjab.gov.in
52,Pani Bachao Paisa Kamao,State,Punjab,Irrigation,Water conservation scheme with subsidy for efficient irrigation,Water-using farmers; Groundwater critical areas,Aadhaar; Land records; Irrigation method proof; Bank account,https://agriextension.punjab.gov.in
53,Punjab Farm Mechanisation Scheme,State,Punjab,Agriculture,Farm machinery custom hiring and purchase support,Small farmers; Landless laborers; Women groups,Aadhaar; Land records; Equipment quotation; Bank account,https://agriextension.punjab.gov.in
54,Punjab Organic Farming Scheme,State,Punjab,Agriculture,Transition support to organic farming practices,Farmers transitioning to organic; Certified organic groups,Land records; Aadhaar; Organic plan; Training certificate,https://agriextension.punjab.gov.in
55,Punjab Seed Distribution Scheme,State,Punjab,Agriculture,Free and subsidized seed distribution program,All farmers; Marginal farmers; SC/ST farmers,Aadhaar; Land records; Identification proof; Bank account,https://agriextension.punjab.gov.in
56,Mukhyamantri Krishak Saathi Yojana,State,Rajasthan,Agriculture,Accidental injury insurance for farmers during agricultural operations,Tenant farmers; Landholding farmers; Agricultural laborers,Aadhaar; Land/work proof; Age certificate; Bank account,https://rajasthan.gov.in
57,Rajasthan Farm Loan Waiver,State,Rajasthan,Agriculture,Waiver of agricultural loans to reduce farmer debt,Small and marginal farmers; SC/ST farmers,Loan documents; Land records; Aadhaar; Bank statements,https://rajasthan.gov.in
58,Rajasthan Solar Pump Scheme,State,Rajasthan,Energy,Solar water pumps with subsidized installation,Groundwater dependent farmers; Off-grid farmers,Aadhaar; Land records; Solar quotation; Bank account,https://rajasthan.gov.in
59,Rajasthan Drip Irrigation Subsidy,State,Rajasthan,Irrigation,Micro-irrigation system installation subsidy,Horticulture and vegetable farmers; Water-scarce regions,Land records; Water source proof; Bank account; Quotation,https://rajasthan.gov.in
60,Rajasthan Seed Subsidy Scheme,State,Rajasthan,Agriculture,Certified seed subsidy and distribution,All farmers; Small and marginal farmers,Aadhaar; Land records; Seed certificate; Bank account,https://rajasthan.gov.in
61,Mukhyamantri Krishak Durghatna Kalyan,State,Uttar Pradesh,Agriculture,Accidental injury insurance for farming activities,Small and marginal farmers; Share croppers; Agricultural laborers,Aadhaar; Land certificate; Age proof; Bank account,https://upagriculture.com
62,UP Crop Loan Waiver Scheme,State,Uttar Pradesh,Agriculture,Waiver of crop loans for farmers reducing debt burden,Small and marginal farmers; Poor farmers,Loan documents; Land records; Aadhaar; Income certificate,https://upagriculture.com
63,UP Solar Pump Scheme,State,Uttar Pradesh,Energy,Subsidized solar pump installation for irrigation,All farmers; SHGs; Women farmer groups,Aadhaar; Land records; Solar quotation; Bank account,https://upagriculture.com
64,UP Irrigation Subsidy Scheme,State,Uttar Pradesh,Irrigation,Micro-irrigation and well development subsidy,Water-deficit area farmers; Vegetable and fruit farmers,Land records; Water proof; Bank account; Equipment quotation,https://upagriculture.com
65,UP Seed Distribution Scheme,State,Uttar Pradesh,Agriculture,Quality seed distribution at subsidized rates,All farmers; Small and marginal farmer groups,Aadhaar; Land records; Seed certification; Bank account,https://upagriculture.com
66,Bhavantar Bhugtan Yojana,State,Madhya Pradesh,Agriculture,Price support scheme for crop sale losses,Farmers in Madhya Pradesh; Registered members,Aadhaar; Land records; Crop details; Sale documents,https://mpagri.gov.in
67,MP Solar Pump Scheme,State,Madhya Pradesh,Energy,Solar powered agricultural pumps installation subsidy,Farmers with land; Water access; Rural areas,Aadhaar; Land records; Solar quotation; Bank account,https://mpagri.gov.in
68,MP Farm Mechanisation Scheme,State,Madhya Pradesh,Agriculture,Agricultural machinery lease and purchase support,Small and marginal farmers; Women farmers; Groups,Aadhaar; Land records; Equipment quotation; Bank account,https://mpagri.gov.in
69,MP Seed Subsidy Scheme,State,Madhya Pradesh,Agriculture,Quality seeds at discounted rate,All farmers; SHGs; Seed producers,Aadhaar; Land records; Seed certificate; Bank account,https://mpagri.gov.in
70,MP Irrigation Support Scheme,State,Madhya Pradesh,Irrigation,Irrigation infrastructure development with subsidy,Farmers in water-stressed areas; Well sinking support,Land records; Water source proof; Bank account; Quotation,https://mpagri.gov.in
71,Krishak Bandhu Scheme,State,West Bengal,Agriculture,Crop insurance and input support scheme,All farmers in West Bengal; Tenant farmers,Aadhaar; Land records; Tenancy proof; Bank account,https://wb-agriculture.gov.in
72,Bangla Shasya Bima Yojana,State,West Bengal,Agriculture,Crop insurance with premium contribution by government,Small and marginal farmers; Agricultural laborers,Aadhaar; Land records; Insurance form; Bank account,https://wb-agriculture.gov.in
73,WB Farm Mechanisation Scheme,State,West Bengal,Agriculture,Farm machinery subsidy and custom hiring support,All farmers; Women farmer groups; SHGs,Aadhaar; Land records; Equipment quotation; Bank account,https://wb-agriculture.gov.in
74,WB Seed Distribution Scheme,State,West Bengal,Agriculture,Certified improved seeds at subsidized rates,All farmers; Registered farmer groups; SHGs,Aadhaar; Land records; Seed certificate; Bank account,https://wb-agriculture.gov.in
75,WB Irrigation Support Scheme,State,West Bengal,Irrigation,Well irrigation and micro-irrigation subsidy,Farmers with land; Water access needs,Land records; Water source proof; Bank account; Quotation,https://wb-agriculture.gov.in
76,Bihar Diesel Subsidy Scheme,State,Bihar,Agriculture,Diesel subsidy for agricultural operations,All farmers; Pump owners; Agricultural organizations,Aadhaar; Land records; ID proof; Bank account,https://agriculture.gov.in
77,Bihar Crop Assistance Scheme,State,Bihar,Agriculture,Assistance for crop failure and natural calamities,Affected farmers; Disaster-hit areas,Land records; Damage report; Aadhaar; Bank account,https://agriculture.gov.in
78,Bihar Farm Mechanisation Scheme,State,Bihar,Agriculture,Farm machinery purchase and custom hiring support,Small farmers; Marginal farmers; Women groups,Aadhaar; Land records; Equipment quotation; Bank account,https://agriculture.gov.in
79,Bihar Seed Distribution Scheme,State,Bihar,Agriculture,Quality seed supply at reduced cost,All farmers; Registered farmer groups; SHGs,Aadhaar; Land records; Seed certificate; Bank account,https://agriculture.gov.in
